"Date","SP500","MSFT"
1995-01-03,459.109985351562,2.29786896705627
1995-01-04,460.709991455078,2.31457185745239
1995-01-05,460.339996337891,2.2763934135437
1995-01-06,460.679992675781,2.31457185745239
1995-01-09,460.829986572266,2.30025482177734
1995-01-10,461.679992675781,2.32888746261597
1995-01-11,461.660003662109,2.34320569038391
1995-01-12,461.640014648438,2.33843326568604
1995-01-13,465.970001220703,2.39570069313049
1995-01-16,469.380004882812,2.44819641113281
1995-01-17,470.049987792969,2.46728658676147
1995-01-18,469.709991455078,2.48398852348328
1995-01-19,466.950012207031,2.42433500289917
1995-01-20,464.779998779297,2.35275053977966
1995-01-23,465.820007324219,2.39808654785156
1995-01-24,465.859985351562,2.36766409873962
1995-01-25,467.440002441406,2.35752201080322
1995-01-26,468.320007324219,2.28593778610229
1995-01-27,470.390014648438,2.28593778610229
1995-01-30,468.510009765625,2.25253200531006
1995-01-31,470.420013427734,2.26684832572937
1995-02-01,470.399993896484,2.25730323791504
1995-02-02,472.790008544922,2.25253200531006
1995-02-03,478.649993896484,2.29548358917236
1995-02-06,481.140014648438,2.32411623001099
1995-02-07,480.809997558594,2.32888746261597
1995-02-08,481.190002441406,2.36229515075684
1995-02-09,480.190002441406,2.36229515075684
1995-02-10,481.459991455078,2.36706709861755
1995-02-13,481.649993896484,2.36706709861755
1995-02-14,482.549987792969,2.36229515075684
1995-02-15,484.540008544922,2.31934452056885
1995-02-16,485.220001220703,2.32411623001099
1995-02-17,481.970001220703,2.30502653121948
1995-02-21,482.720001220703,2.28116607666016
1995-02-22,485.070007324219,2.34797692298889
1995-02-23,486.910003662109,2.35275053977966
1995-02-24,488.109985351562,2.33843326568604
1995-02-27,483.809997558594,2.35752201080322
1995-02-28,487.390014648438,2.40524649620056
1995-03-01,485.649993896484,2.4147891998291
1995-03-02,485.130004882812,2.43387913703918
1995-03-03,485.420013427734,2.42910814285278
1995-03-06,485.630004882812,2.45535516738892
1995-03-07,482.119995117188,2.49472546577454
1995-03-08,483.140014648438,2.61522674560547
1995-03-09,483.160003662109,2.59136605262756
1995-03-10,489.570007324219,2.61761260032654
1995-03-13,490.049987792969,2.63431692123413
1995-03-14,492.890014648438,2.73930644989014
1995-03-15,491.880004882812,2.69158387184143
1995-03-16,495.410003662109,2.67726683616638
1995-03-17,495.519989013672,2.67010903358459
1995-03-20,496.140014648438,2.71544671058655
1995-03-21,495.070007324219,2.68919801712036
1995-03-22,495.670013427734,2.70828771591187
1995-03-23,495.950012207031,2.77748513221741
1995-03-24,500.970001220703,2.82043671607971
1995-03-27,503.200012207031,2.78703117370605
1995-03-28,503.899993896484,2.81089234352112
1995-03-29,503.119995117188,2.7583966255188
1995-03-30,502.220001220703,2.75362420082092
1995-03-31,500.709991455078,2.71544671058655
1995-04-03,501.850006103516,2.67249584197998
1995-04-04,505.239990234375,2.66772270202637
1995-04-05,505.570007324219,2.69635581970215
1995-04-06,506.079986572266,2.67249584197998
1995-04-07,506.420013427734,2.65817832946777
1995-04-10,507.010009765625,2.70828771591187
1995-04-11,505.529998779297,2.75362420082092
1995-04-12,507.170013427734,2.73453617095947
1995-04-13,509.230010986328,2.76794171333313
1995-04-17,506.130004882812,2.95406222343445
1995-04-18,505.369995117188,2.93020057678223
1995-04-19,504.920013427734,2.90633845329285
1995-04-20,505.290008544922,2.87293148040771
1995-04-21,508.489990234375,2.86338829994202
1995-04-24,512.890014648438,2.9683780670166
1995-04-25,512.099975585938,3.05428099632263
1995-04-26,512.659973144531,3.03996396064758
1995-04-27,513.549987792969,3.00178408622742
1995-04-28,514.710021972656,3.1210925579071
1995-05-01,514.260009765625,3.13541030883789
1995-05-02,514.859985351562,3.0375759601593
1995-05-03,520.47998046875,3.08768653869629
1995-05-04,520.539978027344,3.11154770851135
1995-05-05,520.119995117188,3.05428099632263
1995-05-08,523.960021972656,3.04950904846191
1995-05-09,523.559997558594,3.04712057113647
1995-05-10,524.359985351562,3.0256462097168
1995-05-11,524.369995117188,3.10677528381348
1995-05-12,525.549987792969,3.08291339874268
1995-05-15,527.739990234375,3.10438942909241
1995-05-16,528.190002441406,3.24040102958679
1995-05-17,527.070007324219,3.28335118293762
1995-05-18,519.580017089844,3.23085451126099
1995-05-19,519.190002441406,3.25949001312256
1995-05-22,523.650024414062,3.33107447624207
1995-05-23,528.590026855469,3.3787989616394
1995-05-24,528.609985351562,3.34061789512634
1995-05-25,528.590026855469,3.40743088722229
1995-05-26,523.650024414062,3.34061789512634
1995-05-30,523.580017089844,3.16881632804871
1995-05-31,533.400024414062,3.23324012756348
1995-06-01,533.489990234375,3.21176719665527
1995-06-02,532.510009765625,3.17358684539795
1995-06-05,535.599975585938,3.23562860488892
1995-06-06,535.549987792969,3.17358684539795
1995-06-07,533.130004882812,3.20699548721313
1995-06-08,532.349975585938,3.21176719665527
1995-06-09,527.940002441406,3.24040102958679
1995-06-12,530.880004882812,3.19744920730591
1995-06-13,536.049987792969,3.2022225856781
1995-06-14,536.469970703125,3.19983553886414
1995-06-15,537.119995117188,3.24040102958679
1995-06-16,539.830017089844,3.32152986526489
1995-06-19,545.219970703125,3.42890477180481
1995-06-20,544.97998046875,3.48856139183044
1995-06-21,543.97998046875,3.45515441894531
1995-06-22,551.070007324219,3.50764894485474
1995-06-23,549.710021972656,3.47901511192322
1995-06-26,544.130004882812,3.42651915550232
1995-06-27,542.429992675781,3.31675624847412
1995-06-28,544.72998046875,3.35493588447571
1995-06-29,543.869995117188,3.41220259666443
1995-06-30,544.75,3.45038294792175
1995-07-03,547.090026855469,3.47185611724854
1995-07-05,547.260009765625,3.46231317520142
1995-07-06,553.989990234375,3.54105591773987
1995-07-07,556.369995117188,3.65081930160522
1995-07-10,557.190002441406,3.77490019798279
1995-07-11,554.780029296875,3.68422436714172
1995-07-12,560.890014648438,3.81307744979858
1995-07-13,561,3.82262253761292
1995-07-14,559.890014648438,3.95624732971191
1995-07-17,562.719970703125,4.16145658493042
1995-07-18,558.460021972656,3.88943481445312
1995-07-19,550.97998046875,3.60786724090576
1995-07-20,553.539978027344,3.66990828514099
1995-07-21,553.619995117188,3.51242256164551
1995-07-24,556.630004882812,3.57446241378784
1995-07-25,561.099975585938,3.67945313453674
1995-07-26,561.609985351562,3.66513752937317
1995-07-27,565.219970703125,3.68422436714172
1995-07-28,562.929992675781,3.53628373146057
1995-07-31,562.059997558594,3.45515441894531
1995-08-01,559.640014648438,3.4169750213623
1995-08-02,558.799987792969,3.39788866043091
1995-08-03,558.75,3.47901511192322
1995-08-04,558.940002441406,3.58400917053223
1995-08-07,560.030029296875,3.57446241378784
1995-08-08,560.390014648438,3.56968927383423
1995-08-09,559.710021972656,3.68422436714172
1995-08-10,557.450012207031,3.59355235099792
1995-08-11,555.109985351562,3.68422436714172
1995-08-14,559.739990234375,3.77012920379639
1995-08-15,558.570007324219,3.75580930709839
1995-08-16,559.969970703125,3.77012920379639
1995-08-17,559.039978027344,3.78444409370422
1995-08-18,559.210021972656,3.70808696746826
1995-08-21,558.109985351562,3.60786724090576
1995-08-22,559.52001953125,3.79160380363464
1995-08-23,557.140014648438,3.7367217540741
1995-08-24,557.460021972656,3.66990828514099
1995-08-25,560.099975585938,3.60309481620789
1995-08-28,559.049987792969,3.43845105171204
1995-08-29,560,3.50764894485474
1995-08-30,560.919982910156,3.56014513969421
1995-08-31,561.880004882812,3.53151082992554
1995-09-01,563.840026855469,3.42651915550232
1995-09-05,569.169982910156,3.62695741653442
1995-09-06,570.169982910156,3.56968927383423
1995-09-07,570.289978027344,3.61263942718506
1995-09-08,572.679992675781,3.64604616165161
1995-09-11,573.909973144531,3.72717547416687
1995-09-12,576.510009765625,3.67468070983887
1995-09-13,578.77001953125,3.66990828514099
1995-09-14,583.609985351562,3.62218570709229
1995-09-15,583.349975585938,3.5673041343689
1995-09-18,582.77001953125,3.51242256164551
1995-09-19,584.200012207031,3.56253099441528
1995-09-20,586.77001953125,3.55537295341492
1995-09-21,583,3.4599277973175
1995-09-22,581.72998046875,3.42651915550232
1995-09-25,581.809997558594,3.44501185417175
1995-09-26,581.409973144531,3.36925172805786
1995-09-27,581.039978027344,3.38356924057007
1995-09-28,585.869995117188,3.49333143234253
1995-09-29,584.409973144531,3.45515441894531
1995-10-02,581.719970703125,3.36925172805786
1995-10-03,582.340026855469,3.39311552047729
1995-10-04,581.469970703125,3.28812336921692
1995-10-05,582.630004882812,3.34061789512634
1995-10-06,582.489990234375,3.27857947349548
1995-10-09,578.369995117188,3.17358684539795
1995-10-10,577.52001953125,3.19744920730591
1995-10-11,579.460021972656,3.30721378326416
1995-10-12,583.099975585938,3.34539103507996
1995-10-13,584.5,3.29289603233337
1995-10-16,583.030029296875,3.31198477745056
1995-10-17,586.780029296875,3.47901511192322
1995-10-18,587.440002441406,3.65081930160522
1995-10-19,590.650024414062,3.69377183914185
1995-10-20,587.460021972656,3.64604616165161
1995-10-23,585.059997558594,3.67945313453674
1995-10-24,586.539978027344,3.72240495681763
1995-10-25,582.469970703125,3.6603639125824
1995-10-26,576.719970703125,3.74149203300476
1995-10-27,579.700012207031,3.81784892082214
1995-10-30,583.25,3.92284154891968
1995-10-31,581.5,3.81784892082214
1995-11-01,584.219970703125,3.75580930709839
1995-11-02,589.719970703125,3.81784892082214
1995-11-03,590.570007324219,3.79876184463501
1995-11-06,588.460021972656,3.71763110160828
1995-11-07,586.320007324219,3.55060124397278
1995-11-08,591.710021972656,3.63650178909302
1995-11-09,593.260009765625,3.77967190742493
1995-11-10,592.719970703125,3.69854259490967
1995-11-13,592.299987792969,3.67706656455994
1995-11-14,589.289978027344,3.58878040313721
1995-11-15,593.960021972656,3.58878040313721
1995-11-16,597.340026855469,3.43129277229309
1995-11-17,600.070007324219,3.33584809303284
1995-11-20,596.849975585938,3.28335118293762
1995-11-21,600.239990234375,3.35970664024353
1995-11-22,598.400024414062,3.33584809303284
1995-11-24,599.969970703125,3.35970664024353
1995-11-27,601.320007324219,3.33107447624207
1995-11-28,606.450012207031,3.49333143234253
1995-11-29,607.640014648438,3.42651915550232
1995-11-30,605.369995117188,3.32630300521851
1995-12-01,606.97998046875,3.29289603233337
1995-12-04,613.679992675781,3.35493588447571
1995-12-05,617.679992675781,3.28335118293762
1995-12-06,620.179992675781,3.4599277973175
1995-12-07,616.169982910156,3.45515441894531
1995-12-08,617.47998046875,3.60786724090576
1995-12-11,619.52001953125,3.55537295341492
1995-12-12,618.780029296875,3.48856139183044
1995-12-13,621.690002441406,3.50287938117981
1995-12-14,616.919982910156,3.38834166526794
1995-12-15,616.340026855469,3.37402606010437
1995-12-18,606.809997558594,3.32152986526489
1995-12-19,611.929992675781,3.4694709777832
1995-12-20,605.940002441406,3.32630300521851
1995-12-21,610.489990234375,3.43606519699097
1995-12-22,611.950012207031,3.45515441894531
1995-12-26,614.299987792969,3.44560861587524
1995-12-27,614.530029296875,3.39311552047729
1995-12-28,614.119995117188,3.33584809303284
1995-12-29,615.929992675781,3.35016441345215
1996-01-02,620.72998046875,3.42651915550232
1996-01-03,621.320007324219,3.31675624847412
1996-01-04,617.700012207031,3.33584809303284
1996-01-05,616.710021972656,3.29766607284546
1996-01-08,618.460021972656,3.29289603233337
1996-01-09,609.450012207031,3.06143856048584
1996-01-10,598.47998046875,3.14495396614075
1996-01-11,602.690002441406,3.30721378326416
1996-01-12,601.809997558594,3.27380514144897
1996-01-15,599.820007324219,3.14972543716431
1996-01-16,608.440002441406,3.29766607284546
1996-01-17,606.369995117188,3.24040102958679
1996-01-18,608.239990234375,3.34539103507996
1996-01-19,611.830017089844,3.50764894485474
1996-01-22,613.400024414062,3.51242256164551
1996-01-23,612.789978027344,3.4169750213623
1996-01-24,619.960021972656,3.48378920555115
1996-01-25,617.030029296875,3.41220259666443
1996-01-26,621.619995117188,3.45515441894531
1996-01-29,624.219970703125,3.45038294792175
1996-01-30,630.150024414062,3.46708559989929
1996-01-31,636.02001953125,3.53151082992554
1996-02-01,638.460021972656,3.59355235099792
1996-02-02,635.840026855469,3.55060124397278
1996-02-05,641.429992675781,3.70808696746826
1996-02-06,646.330017089844,3.68422436714172
1996-02-07,649.929992675781,3.69854259490967
1996-02-08,656.070007324219,3.77490019798279
1996-02-09,656.369995117188,3.82262253761292
1996-02-12,661.450012207031,3.79876184463501
1996-02-13,660.510009765625,3.80353546142578
1996-02-14,655.580017089844,3.77012920379639
1996-02-15,651.320007324219,3.76058173179626
1996-02-16,647.97998046875,3.7367217540741
1996-02-20,640.650024414062,3.73194742202759
1996-02-21,648.099975585938,3.81307744979858
1996-02-22,658.859985351562,3.91329717636108
1996-02-23,659.080017089844,3.95147442817688
1996-02-26,650.460021972656,3.84171175956726
1996-02-27,647.239990234375,3.82262253761292
1996-02-28,644.75,3.82262253761292
1996-02-29,640.429992675781,3.76774144172668
1996-03-01,644.369995117188,3.64604616165161
1996-03-04,650.809997558594,3.67468070983887
1996-03-05,655.789978027344,3.74626636505127
1996-03-06,652,3.70331478118896
1996-03-07,653.650024414062,3.71524477005005
1996-03-08,633.5,3.63173079490662
1996-03-11,640.02001953125,3.68422436714172
1996-03-12,637.090026855469,3.65559101104736
1996-03-13,638.549987792969,3.85125732421875
1996-03-14,640.869995117188,3.80353546142578
1996-03-15,641.429992675781,3.90852689743042
1996-03-18,652.650024414062,4.01828765869141
1996-03-19,651.690002441406,4.08032751083374
1996-03-20,649.97998046875,3.99442601203918
1996-03-21,649.190002441406,3.84648299217224
1996-03-22,650.619995117188,3.86080098152161
1996-03-25,650.039978027344,3.81307744979858
1996-03-26,652.969970703125,3.92284154891968
1996-03-27,648.909973144531,3.91329717636108
1996-03-28,648.940002441406,3.90375208854675
1996-03-29,645.5,3.93715882301331
1996-04-01,653.72998046875,3.92284154891968
1996-04-02,655.260009765625,3.99442601203918
1996-04-03,655.880004882812,3.9896547794342
1996-04-04,655.859985351562,3.98488068580627
1996-04-08,644.239990234375,3.96101808547974
1996-04-09,642.190002441406,3.87988877296448
1996-04-10,633.5,3.87988877296448
1996-04-11,631.179992675781,3.86080098152161
1996-04-12,636.710021972656,3.86080098152161
1996-04-15,642.489990234375,3.95207023620605
1996-04-16,645,4.01828765869141
1996-04-17,641.609985351562,4.04453468322754
1996-04-18,643.609985351562,4.16145658493042
1996-04-19,645.070007324219,4.19008922576904
1996-04-22,647.890014648438,4.30462694168091
1996-04-23,651.580017089844,4.29985332489014
1996-04-24,650.169982910156,4.25690317153931
1996-04-25,652.869995117188,4.30462694168091
1996-04-26,653.460021972656,4.33326053619385
1996-04-29,654.159973144531,4.29985332489014
1996-04-30,654.169982910156,4.32371616363525
1996-05-01,654.580017089844,4.39529991149902
1996-05-02,643.380004882812,4.26167392730713
1996-05-03,641.630004882812,4.23304080963135
1996-05-06,640.809997558594,4.26644659042358
1996-05-07,638.260009765625,4.31894540786743
1996-05-08,644.77001953125,4.36189222335815
1996-05-09,645.440002441406,4.33326053619385
1996-05-10,652.090026855469,4.38575553894043
1996-05-13,661.510009765625,4.52892351150513
1996-05-14,665.599975585938,4.54324197769165
1996-05-15,665.419982910156,4.49074554443359
1996-05-16,664.849975585938,4.47165775299072
1996-05-17,668.909973144531,4.46688318252563
1996-05-20,673.150024414062,4.45734071731567
1996-05-21,672.760009765625,4.39529991149902
1996-05-22,678.419982910156,4.46210908889771
1996-05-23,676,4.52415180206299
1996-05-24,678.510009765625,4.52415180206299
1996-05-28,672.22998046875,4.47642993927002
1996-05-29,667.929992675781,4.47165775299072
1996-05-30,671.700012207031,4.51460599899292
1996-05-31,669.119995117188,4.53369617462158
1996-06-03,667.679992675781,4.5193829536438
1996-06-04,672.559997558594,4.50029134750366
1996-06-05,678.440002441406,4.61482572555542
1996-06-06,673.030029296875,4.57425928115845
1996-06-07,673.309997558594,4.62914323806763
1996-06-10,672.159973144531,4.60528230667114
1996-06-11,670.969970703125,4.66254949569702
1996-06-12,669.039978027344,4.77231216430664
1996-06-13,667.919982910156,4.75799608230591
1996-06-14,665.849975585938,4.69595384597778
1996-06-17,665.159973144531,4.75799608230591
1996-06-18,662.059997558594,4.67209434509277
1996-06-19,661.960021972656,4.64823198318481
1996-06-20,662.099975585938,4.64823198318481
1996-06-21,666.840026855469,4.72936153411865
